Subject,Reaction,Condition,Days
A,249.56,Control,0
A,258.7047,Deprived,1
A,250.8006,Deprived,2
A,321.4398,Deprived,3
A,356.8519,Deprived,4
A,414.6901,Deprived,5
A,382.2038,Deprived,6
A,290.1486,Deprived,7
A,430.5853,Deprived,8
A,466.3535,Deprived,9
B,222.7339,Control,0
B,205.2658,Deprived,1
B,202.9778,Deprived,2
B,204.707,Deprived,3
B,207.7161,Deprived,4
B,215.9618,Deprived,5
B,213.6303,Deprived,6
B,217.7272,Deprived,7
B,224.2957,Deprived,8
B,237.3142,Deprived,9
C,199.0539,Control,0
C,194.3322,Deprived,1
C,234.32,Deprived,2
C,232.8416,Deprived,3
C,229.3074,Deprived,4
C,220.4579,Deprived,5
C,235.4208,Deprived,6
C,255.7511,Deprived,7
C,261.0125,Deprived,8
C,247.5153,Deprived,9
D,321.5426,Control,0
D,300.4002,Deprived,1
D,283.8565,Deprived,2
D,285.133,Deprived,3
D,285.7973,Deprived,4
D,297.5855,Deprived,5
D,280.2396,Deprived,6
D,318.2613,Deprived,7
D,305.3495,Deprived,8
D,354.0487,Deprived,9
E,287.6079,Control,0
E,285,Deprived,1
E,301.8206,Deprived,2
E,320.1153,Deprived,3
E,316.2773,Deprived,4
E,293.3187,Deprived,5
E,290.075,Deprived,6
E,334.8177,Deprived,7
E,293.7469,Deprived,8
E,371.5811,Deprived,9
F,234.8606,Control,0
F,242.8118,Deprived,1
F,272.9613,Deprived,2
F,309.7688,Deprived,3
F,317.4629,Deprived,4
F,309.9976,Deprived,5
F,454.1619,Deprived,6
F,346.8311,Deprived,7
F,330.3003,Deprived,8
F,253.8644,Deprived,9
G,283.8424,Control,0
G,289.555,Deprived,1
G,276.7693,Deprived,2
G,299.8097,Deprived,3
G,297.171,Deprived,4
G,338.1665,Deprived,5
G,332.0265,Deprived,6
G,348.8399,Deprived,7
G,333.36,Deprived,8
G,362.0428,Deprived,9
H,265.4731,Control,0
H,276.2012,Deprived,1
H,243.3647,Deprived,2
H,254.6723,Deprived,3
H,279.0244,Deprived,4
H,284.1912,Deprived,5
H,305.5248,Deprived,6
H,331.5229,Deprived,7
H,335.7469,Deprived,8
H,377.299,Deprived,9
I,241.6083,Control,0
I,273.9472,Deprived,1
I,254.4907,Deprived,2
I,270.8021,Deprived,3
I,251.4519,Deprived,4
I,254.6362,Deprived,5
I,245.4523,Deprived,6
I,235.311,Deprived,7
I,235.7541,Deprived,8
I,237.2466,Deprived,9
J,312.3666,Control,0
J,313.8058,Deprived,1
J,291.6112,Deprived,2
J,346.1222,Deprived,3
J,365.7324,Deprived,4
J,391.8385,Deprived,5
J,404.2601,Deprived,6
J,416.6923,Deprived,7
J,455.8643,Deprived,8
J,458.9167,Deprived,9
K,236.1032,Control,0
K,230.3167,Deprived,1
K,238.9256,Deprived,2
K,254.922,Deprived,3
K,250.7103,Deprived,4
K,269.7744,Deprived,5
K,281.5648,Deprived,6
K,308.102,Deprived,7
K,336.2806,Deprived,8
K,351.6451,Deprived,9
L,256.2968,Control,0
L,243.4543,Deprived,1
L,256.2046,Deprived,2
L,255.5271,Deprived,3
L,268.9165,Deprived,4
L,329.7247,Deprived,5
L,379.4445,Deprived,6
L,362.9184,Deprived,7
L,394.4872,Deprived,8
L,389.0527,Deprived,9
M,250.5265,Control,0
M,300.0576,Deprived,1
M,269.8939,Deprived,2
M,280.5891,Deprived,3
M,271.8274,Deprived,4
M,304.6336,Deprived,5
M,287.7466,Deprived,6
M,266.5955,Deprived,7
M,321.5418,Deprived,8
M,347.5655,Deprived,9
N,221.6771,Control,0
N,298.1939,Deprived,1
N,326.8785,Deprived,2
N,346.8555,Deprived,3
N,348.7402,Deprived,4
N,352.8287,Deprived,5
N,354.4266,Deprived,6
N,360.4326,Deprived,7
N,375.6406,Deprived,8
N,388.5417,Deprived,9
O,271.9235,Control,0
O,268.4369,Deprived,1
O,257.2424,Deprived,2
O,277.6566,Deprived,3
O,314.8222,Deprived,4
O,317.2135,Deprived,5
O,298.1353,Deprived,6
O,348.1229,Deprived,7
O,340.28,Deprived,8
O,366.5131,Deprived,9
P,225.264,Control,0
P,234.5235,Deprived,1
P,238.9008,Deprived,2
P,240.473,Deprived,3
P,267.5373,Deprived,4
P,344.1937,Deprived,5
P,281.1481,Deprived,6
P,347.5855,Deprived,7
P,365.163,Deprived,8
P,372.2288,Deprived,9
Q,269.8804,Control,0
Q,272.4428,Deprived,1
Q,277.8989,Deprived,2
Q,281.7895,Deprived,3
Q,279.1705,Deprived,4
Q,284.512,Deprived,5
Q,259.2658,Deprived,6
Q,304.6306,Deprived,7
Q,350.7807,Deprived,8
Q,369.4692,Deprived,9
R,269.4117,Control,0
R,273.474,Deprived,1
R,297.5968,Deprived,2
R,310.6316,Deprived,3
R,287.1726,Deprived,4
R,329.6076,Deprived,5
R,334.4818,Deprived,6
R,343.2199,Deprived,7
R,369.1417,Deprived,8
R,364.1236,Deprived,9
